Committee	CommitteeName	AddDate	AreaRegion	ParentName	ComemID	ContactID	ContactName	CompanyName	ContactAddrID	ContactAddress1	ContactAddress2	ContactCity	ContactState	ContactZip	ContactCountry	ContactPhone	MeetingID	Room	Closed	WheelChr	Day	Time	Language1	Language2	Language3	LocationId	Place	Address	City	LocBorough	State	Zip	Country	Directions	Institutional	Format1	Format2	Format3	Format4	Format5	Delete	LastChanged	longitude	latitude	ContactGP
G00018251	Salem Group	11/18/99	RG616	Show-Me Region	161439												259595		OPEN	TRUE	Saturday	1730				198428	Bank of Salem	600 South Main Street	Salem		MO	65560	USA	Highway 19 South	FALSE	DISC						2/1/07	-91.5350451	37.6392599	
G00082489	Renaissance Group	7/16/01	RG616	Show-Me Region	82490												5135		OPEN	TRUE	Sunday	1730				3100	Schweitzer United Methodist Church Annex	1721 South Meadowview	Springfield		MO	65804	USA		FALSE	BT						8/5/03	-93.238897	37.1821111	
G00082489	Renaissance Group	7/16/01	RG616	Show-Me Region	82490												5136		CLOSED	TRUE	Tuesday	1730				3100	Schweitzer United Methodist Church Annex	1721 South Meadowview	Springfield		MO	65804	USA		FALSE	TOP						8/5/03	-93.238897	37.1821111	
G00082489	Renaissance Group	7/16/01	RG616	Show-Me Region	82490												5137		CLOSED	TRUE	Friday	1730				3100	Schweitzer United Methodist Church Annex	1721 South Meadowview	Springfield		MO	65804	USA		FALSE	TOP						8/5/03	-93.238897	37.1821111	
G00301854	NA All The Way Group	4/18/14	RG616	Show-Me Region	300846												294215		OPEN	TRUE	Tuesday	1500				215690	Kent Memorial Lutheran Church	184 Sunset Hills Drive	Sunrise Beach		MO	65079-6643	USA		FALSE	DISC						4/18/14			
G00301854	NA All The Way Group	4/18/14	RG616	Show-Me Region	300846												294216		OPEN	TRUE	Thursday	1500				215690	Kent Memorial Lutheran Church	184 Sunset Hills Drive	Sunrise Beach		MO	65079-6643	USA		FALSE	DISC						4/18/14	-92.7866264	38.1767258	
G00224890	Vandalia Group	11/17/09	RG616	Show-Me Region	224887												276144		CLOSED	FALSE	Friday	1900				206210	Vandalia Hotel	112 West State Street	Vandalia		MO	63382-1737	USA		FALSE							11/17/09	-91.487446	39.308402	
G00156817	Common Bond Group	3/1/06	AR61603	Central Ozarks Area	184744												257919	Room 224	OPEN	TRUE	Sunday	1830				214460		202 East First Street	West Plains		MO	65775-3271	USA		FALSE	DISC						2/2/16	-91.8513488	36.732018	
G00156817	Common Bond Group	3/1/06	AR61603	Central Ozarks Area	184744												268049	Room 224	OPEN	TRUE	Monday	1830				214460		202 East First Street	West Plains		MO	65775-3271	USA		FALSE							2/2/16	-91.8513488	36.732018	
G00156817	Common Bond Group	3/1/06	AR61603	Central Ozarks Area	184744												268062	Room 224	OPEN	TRUE	Tuesday	1830				214460		202 East First Street	West Plains		MO	65775-3271	USA		FALSE	BT						2/2/16	-91.8513488	36.732018	
